Set,Name,Country,2024 Team,C/U/A,Role,Base Price
MQ1,Virat Kohli,India,RCB,Capped,Batter,2
MQ1,Rohit Sharma,India,MI,Capped,Batter,2
MQ1,Jasprit Bumrah,India,MI,Capped,Bowler,2
MQ1,Rashid Khan,Afghanistan,GT,Capped,Bowler,2
MQ1,Hardik Pandya,India,MI,Capped,All Rounder,2
MQ1,Sanju Samson,India,RR,Capped,Wicketkeeper,2
MQ2,Jos Buttler,England,RR,Capped,Wicketkeeper,2
MQ2,Shreyas Iyer,India,KKR,Capped,Batter,2
MQ2,Rishabh Pant,India,DC,Capped,Wicketkeeper,2
MQ2,Kagiso Rabada,South Africa,PBKS,Capped,Bowler,2
MQ2,Arshdeep Singh,India,PBKS,Capped,Bowler,2
MQ2,Mitchell Starc,Australia,KKR,Capped,Bowler,2
MQ3,Andre Russell,West Indies,KKR,Capped,All Rounder,2
MQ3,Shubman Gill,India,GT,Capped,Batter,2
MQ3,Ravindra Jadeja,India,CSK,Capped,All Rounder,2
MQ3,Axar Patel,India,DC,Capped,All Rounder,2
MQ3,Suryakumar Yadav,India,MI,Capped,Batter,2
MQ3,Nicholas Pooran,West Indies,LSG,Capped,Wicketkeeper,2
MQ4,Yuzvendra Chahal,India,RR,Capped,Bowler,2
MQ4,Mohammed Siraj,India,RCB,Capped,Bowler,2
MQ4,Mohammed Shami,India,GT,Capped,Bowler,2
MQ4,Liam Livingstone,England,PBKS,Capped,Batter,2
MQ4,David Miller,South Africa,GT,Capped,Batter,1.5
MQ4,KL Rahul,India,LSG,Capped,Wicketkeeper,2
BA1,Jake Fraser-McGurk,Australia,DC,Capped,Batter,2
BA1,Ruturaj Gaikwad,India,CSK,Capped,Batter,2
BA1,Devon Conway,NewZealand,CSK,Capped,Batter,2
BA1,Harry Brook,England,DC,Capped,Batter,2
BA1,Rahul Tripathi,India,SRH,Capped,Batter,0.75
BA1,Aiden Markram,South Africa,SRH,Capped,Batter,2
BA1,Sai Sudharshan,India,GT,Capped,Batter,1.5
BA1,Rinku Singh,India,KKR,Capped,Batter,2
BA1,Tristan Stubbs,South Africa,DC,Capped,Batter,2
BA1,Devdutt Padikkal,India,LSG,Capped,Batter,2
AL1,Pat Cummins,Australia,SRH,Capped,All Rounder,2
AL1,Shivam Dube,India,CSK,Capped,All Rounder,2
AL1,Abhishek Sharma,India,SRH,Capped,All Rounder,2
AL1,R Ashwin,India,RR,Capped,All Rounder,2
AL1,Venkatesh Iyer,India,KKR,Capped,All Rounder,2
AL1,Mitchell Marsh,Australia,DC,Capped,All Rounder,2
AL1,Glenn Maxwell,Australia,RCB,Capped,All Rounder,2
AL1,Harshal Patel,India,PBKS,Capped,All Rounder,2
AL1,Nitish Kumar Reddy,India,SRH,Capped,All Rounder,2
AL1,Marcus Stoinis,Australia,LSG,Capped,All Rounder,2
AL1,Rachin Ravindra,New Zealand,CSK,Capped,All Rounder,1.5
AL1,Sunil Narine,West Indies,KKR,Capped,All Rounder,2
WK1,Jonny Bairstow,England,PBKS,Capped,Wicketkeeper,2
WK1,Quinton De Kock,South Africa,LSG,Capped,Wicketkeeper,2
WK1,Rahmanullah Gurbaz,Afghanistan,KKR,Capped,Wicketkeeper,2
WK1,Ishan Kishan,India,MI,Capped,Wicketkeeper,2
WK1,Phil Salt,England,KKR,Capped,Wicketkeeper,2
WK1,Dhruv Jurel,India,RR,Capped,Wicketkeeper,1
WK1,Jitesh Sharma,India,PBKS,Capped,Wicketkeeper,1
WK1,Heinrich Klaasen,South Africa,SRH,Capped,Wicketkeeper,2
FA1,Syed Khaleel Ahmed,India,DC,Capped,Bowler,2
FA1,Trent Boult,New Zealand,RR,Capped,Bowler,2
FA1,Josh Hazlewood,Australia,-,Capped,Bowler,2
FA1,Avesh Khan,India,RR,Capped,Bowler,2
FA1,Prasidh Krishna,India,RR,Capped,Bowler,2
FA1,T. Natarajan,India,SRH,Capped,Bowler,2
FA1,Anrich Nortje,South Africa,DC,Capped,Bowler,2
FA1,Jofra Archer,England,RR and MI,Capped,Bowler,2
FA1,Matheesha Pathirana,Sri Lanka,CSK,Capped,Bowler,2
FA1,Harshit Rana,India,KKR,Capped,Bowler,2
FA1,Mayank Yadav,India,LSG,Capped,Bowler,2
SP1,Kuldeep Yadav,India,DC,Capped,Bowler,2
SP1,Varun Chakaravarthy,India,KKR,Capped,Bowler,2
SP1,Ravi Bishnoi,India,LSG,Capped,Bowler,2
SP1,Noor Ahmad,Afghanistan,GT,Capped,Bowler,2
SP1,Rahul Chahar,India,PBKS,Capped,Bowler,1
SP1,Adam Zampa,Australia,RR,Capped,Bowler,2
SP1,Maheesh Theekshana,Sri Lanka,CSK,Capped,Bowler,2
SP1,Waqar Salamkheil,Afghanistan,-,Capped,Bowler,0.75
UBA1,Yash Dhull,India,DC,Uncapped,Batter,0.3
UBA1,Abhinav Manohar,India,GT,Uncapped,Batter,0.3
UBA1,Karun Nair,India,-,Uncapped,Batter,0.3
UBA1,Angkrish Raghuvanshi,India,KKR,Uncapped,Batter,0.3
